CCN,REPORT_DAT,START_DATE,END_DATE,SHIFT,OFFENSE,BLOCK,WARD,DISTRICT,NEIGHBORHOOD_CLUSTER,LATITUDE,LONGITUDE,hour,day,month,weekday,time_period,crime_count,crime_type,crime_date,crime_hour,year,day_night,area,risk_level
24071466,2024-05-13 04:54:29+00:00,2024-05-13 03:04:00+00:00,2024-05-13 03:06:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,1401 - 1499 BLOCK OF 18TH STREET SE,8.0,6.0,Cluster 34,38.8724674298,-76.9790079703,3.0,13.0,5,Monday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-05-13 04:54:29+00:00,4,2024,Night,Cluster 34,High
24065085,2024-05-01 15:16:43+00:00,2024-04-29 21:30:00+00:00,2024-05-01 21:45:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,1802 - 1999 BLOCK OF IRVING STREET NE,5.0,,Cluster 22,38.929036033,-76.9776338103,21.0,29.0,5,Monday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-05-01 15:16:43+00:00,15,2024,Day,Cluster 22,Medium
24192181,2024-12-12 09:02:50+00:00,2024-12-12 06:12:00+00:00,2024-12-12 06:30:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,4310 - 4399 BLOCK OF E STREET SE,7.0,6.0,Cluster 33,38.8831908542,-76.940265984,6.0,12.0,12,Thursday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-12-12 09:02:50+00:00,9,2024,Day,Cluster 33,High
24119525,2024-08-05 01:04:13+00:00,2024-08-04 20:43:00+00:00,2024-08-04 22:30:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,2627 - 2699 BLOCK OF STANTON ROAD SE,8.0,7.0,Cluster 37,38.8584648442,-76.9900561524,20.0,4.0,8,Sunday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-08-05 01:04:13+00:00,1,2024,Night,Cluster 37,High
24094976,2024-06-22 15:07:16+00:00,2024-06-22 09:43:00+00:00,2024-06-22 15:00:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,1 - 99 BLOCK OF M STREET NE,6.0,5.0,Cluster 25,38.9056424003,-77.007474088,9.0,22.0,6,Saturday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-06-22 15:07:16+00:00,15,2024,Day,Cluster 25,High
24104639,2024-07-08 22:47:01+00:00,2024-07-08 19:19:00+00:00,2024-07-08 21:30:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,2686 - 2721 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,8.0,7.0,Cluster 43,38.8540616094,-76.9959815541,19.0,8.0,7,Monday,Evening,1,ASSAULT W/DANGEROUS WEAPON,2024-07-08 22:47:01+00:00,22,2024,Night,Cluster 43,Low
24152933,2024-10-03 07:31:40+00:00,2024-10-03 05:23:00+00:00,,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,1900 - 2199 BLOCK OF SAVANNAH TERRACE SE,8.0,7.0,Cluster 38,38.848136645,-76.9761390018,5.0,3.0,10,Thursday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-10-03 07:31:40+00:00,7,2024,Day,Cluster 38,High
24148623,2024-09-25 22:09:29+00:00,2024-09-25 09:00:00+00:00,2024-09-25 13:00:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,100 - 199 BLOCK OF YUMA STREET SE,8.0,7.0,Cluster 39,38.8320541494,-77.0046179534,9.0,25.0,9,Wednesday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-09-25 22:09:29+00:00,22,2024,Night,Cluster 39,High
24053383,2024-04-10 08:29:27+00:00,2024-04-10 04:26:00+00:00,,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,2700 - 2899 BLOCK OF LANGSTON PLACE SE,8.0,7.0,Cluster 36,38.8561277862,-76.9725864468,4.0,10.0,4,Wednesday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-04-10 08:29:27+00:00,8,2024,Day,Cluster 36,High
24142668,2024-09-15 23:52:58+00:00,2024-09-15 21:55:00+00:00,2024-09-15 22:00:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,2900 - 2999 BLOCK OF KNOX PLACE SE,8.0,7.0,Cluster 36,38.8545644303,-76.9705725705,21.0,15.0,9,Sunday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-09-15 23:52:58+00:00,23,2024,Night,Cluster 36,High
24069325,2024-05-09 06:23:48+00:00,2024-05-09 02:52:00+00:00,,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,2820 - 2908 BLOCK OF Q STREET SE,7.0,6.0,Cluster 34,38.8707431644,-76.9662725295,2.0,9.0,5,Thursday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-05-09 06:23:48+00:00,6,2024,Day,Cluster 34,High
24059283,2024-04-20 22:53:46+00:00,2024-04-20 21:02:00+00:00,2024-04-20 23:30:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,4660 - 4699 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,8.0,7.0,Cluster 39,38.8216256757,-77.0110811748,21.0,20.0,4,Saturday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-04-20 22:53:46+00:00,22,2024,Night,Cluster 39,High
24032686,2024-03-03 06:39:41+00:00,2024-03-03 03:37:00+00:00,2024-03-03 05:52:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,2300 - 2399 BLOCK OF PITTS PLACE SE,8.0,7.0,Cluster 28,38.8598102625,-76.9855833686,3.0,3.0,3,Sunday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-03-03 06:39:41+00:00,6,2024,Day,Cluster 28,Medium
24141070,2024-09-13 02:25:49+00:00,2024-09-13 00:47:00+00:00,2024-09-13 01:40:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,5200 - 5299 BLOCK OF BANKS PLACE NE,7.0,6.0,Cluster 31,38.8927167767,-76.9266104388,0.0,13.0,9,Friday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-09-13 02:25:49+00:00,2,2024,Night,Cluster 31,High
